"","df.subject","item","word"
"43","2","ARMBAND","ARMAND"
"2","1","ARZTKITTEL","ARZTKIZEBACKSPACEBACKSPACETTEL"
"55","3","AUTO","AUTP"
"75","4","AXT","ACCBACKSPACEBACKSPACEXT"
"41","2","BANANE","BABANBACKSPACEBACKSPACEBACKSPACENANE"
"44","3","BANANE","BANANAEBACKSPACEBACKSPACEE"
"30","2","BANK","BAKBACKSPACENK"
"90","4","BANK","BANLBACKSPACEK+"
"93","4","BÄR","BÖRBACKSPACEBACKSPACEÄR"
"27","2","BOHRMASCHINE","BOHRER"
"59","3","BOHRMASCHINE","BOHRER"
"17","1","BONBON","BONOBON"
"34","2","BROKKOLI","BRKBACKSPACEOKKOLI"
"92","4","BROSCHE","BROCHBACKSPACEBACKSPACESCHE"
"6","1","BURG","BURH"
"7","1","COUCH","SOFA"
"29","2","COUCH","SOBACKSPACEBACKSPACEBACKSPACECOBACKSPACEBACKSPACEBACKSPACECOUCH"
"89","4","COUCH","SOFA"
"4","1","DAUNENWESTE","DAUENBACKSPACENENWESTE"
"33","2","DAUNENWESTE","WESTE"
"51","3","DAUNENWESTE","WESTE"
"73","4","DAUNENWESTE","WEBACKSPACEBACKSPACESHIFTDAUNENWESTE"
"19","1","FEILE","FEIEBACKSPACELE"
"84","4","FUSS","FUSSBACKSPACES"
"42","2","GABEL","GEABEBACKSPACEBACKSPACEBACKSPACEBACKSPACEABEL"
"38","2","GESCHIRRSPÜLER","SPÜLMASCHINE"
"64","3","GESCHIRRSPÜLER","SPÜLMASCHINE"
"80","4","GESCHIRRSPÜLER","GESCHRIBACKSPACEBACKSPACEIRRSPÜLER"
"11","1","GOLDFISCH","GOLDFISH"
"36","2","GOLDFISCH","GLBACKSPACEOLDSBACKSPACEFISCH"
"56","3","GOLDFISCH","FISCH"
"67","4","GOLDFISCH","FISCH"
"26","1","GONDEL","GONEBACKSPACEDLE"
"88","4","HOCHHAUS","HOCHHAUSEBACKSPACE"
"52","3","HOCKER","HPCKER"
"21","1","KAFFEEMASCHINE","KAFFEMASCHINE"
"65","3","KAFFEEMASCHINE","KAFFEMBACKSPACEEMASCHINE"
"46","3","KANNE","TEEKANNE"
"82","4","KANNE","TEEKANNE"
"66","3","KANU","BOOT"
"32","2","KAPUZENPULLI","KAPUZEPULLI"
"47","3","KAROTTE","KATBACKSPACEROTTE"
"72","4","KAROTTE","KAROTEBACKSPACETE"
"3","1","KARTOFFEL","KARTOFFELL"
"10","1","KELLE","SUPPENKELLE"
"53","3","KELLE","SUPPENKELLE"
"24","1","KLAMMER","BÜRLOKLAMEMR"
"39","2","KLAMMER","BÜROKLAMMER"
"78","4","KLAMMER","BÜROKLAMMER"
"15","1","KLEIDERSCHRANK","SCHRANK"
"35","2","KLEIDERSCHRANK","SCHRANK"
"54","3","KLEIDERSCHRANK","SCHRANK"
"68","4","KLEIDERSCHRANK","SCHRANK"
"16","1","KUCHEN","KBACKSPACEZTORTE"
"28","2","KUCHEN","TOPRTE"
"70","4","KUTSCHE","KUTZSBACKSPACEBACKSPACESCHE"
"63","3","LINEAL","LINRBACKSPACEEAL"
"9","1","LÖFFEL","LÖGFFEL"
"91","4","LÖWE","LÖSEBACKSPACEBACKSPACEWE"
"37","2","MIKROWELLE","MIRKOWELLE"
"62","3","MIKROWELLE","MIKBACKSPACERBACKSPACEKROWELLE"
"77","4","MIKROWELLE","MIGBACKSPACERBACKSPACEKROWELLE"
"12","1","MOTORRAD","MPOTORRAD"
"5","1","PAPRIKA","PAPRIKE"
"31","2","PAPRIKA","PARPIKA"
"50","3","PAPRIKA","PARPIKA"
"48","3","PELZMANTEL","MANTEL"
"74","4","PELZMANTEL","PERBACKSPACELZMANTEL"
"22","1","RADIERGUMMI","RADIERHUMMEBACKSPACEI"
"14","1","REGAL","REABACKSPACEGAL"
"13","1","ROCHEN","ROCHENENTERENTERENTERENTERENTERENTERENTERENTERENTERENTERENTER"
"57","3","SAFE","SAEBACKSPACEFE"
"49","3","SAKKO","SAKKO7BACKSPACE"
"69","4","SCHACHTEL","KISTE"
"71","4","SCHAUFEL","SPATEN"
"18","1","SCHOKOLADE","SCHOLOLADE"
"85","4","SCHOKOLADE","SCHOKOLOBACKSPACEASDBACKSPACEBACKSPACEDE"
"58","3","SCHRAUBENZIEHER","SCHRAUVENZIEHER"
"23","1","SEGELSCHIFF","SEGELSSCBACKSPACEBACKSPACECHIFF"
"61","3","SEGELSCHIFF","SCHIFF"
"81","4","SEGELSCHIFF","SEGELBOOT"
"86","4","SESSEL","SESSEÖ"
"20","1","SONNENBLUME","SONNENBLIME"
"83","4","TASSE","KAFFEETASSE"
"87","4","TAUBE","TAIBACKSPACEUBE"
"8","1","TEMPEL","TEPEL"
"1","1","TRAUBEN","TRAUBE"
"45","3","TRAUBEN","TRAUEBNBACKSPACEBACKSPACEBACKSPACEBEN"
"76","4","TULPE","TUPBACKSPACELPE"
"25","1","U-BOOT","USHIFTBOOT"
"79","4","U-BOOT","U-SHIFTBOOT"
"40","2","YACHT","BOOT"
"60","3","YACHT","BOOT"
